season,episode,title,airdate,rating,total_votes,desc,season_episode
1,1,Pilot,20 Sep. 2011,7.7,"2,546","After breaking up with her two-timing boyfriend, schoolteacher Jess Day moves in with three single males: a bartender, a womanizer, and a personal trainer.",1-1
1,2,Kryptonite,27 Sep. 2011,7.3,"1,794","Nick and Schmidt help Jess get her things out of her ex's apartment. Later, Jess meets new roomie Winston, who's back from playing basketball abroad.",1-2
1,3,Wedding,4 Oct. 2011,7.6,"1,706","Fearful that he'll run into his ex-girlfriend at a wedding, Nick asks Jess to be his date. Meanwhile, Winston takes his role as an usher seriously.",1-3
1,4,Naked,1 Nov. 2011,8.0,"1,672","When Jess walks in on Nick naked, his confidence is sent to an all-time low, just after a pretty co-worker agrees to go out with him.",1-4
1,5,Cece Crashes,8 Nov. 2011,7.8,"1,523","Cece crashes at the loft after a bad breakup, and convinces Jess that Nick likes her more than just as a roommate.",1-5
1,6,Thanksgiving,15 Nov. 2011,7.8,"1,500","Jess invites Paul, a music teacher at her school on whom she always has had a crush, to the gang's big Thanksgiving dinner at the loft, which naturally goes horribly awry.",1-6
1,7,Bells,29 Nov. 2011,7.1,"1,434",Jess gets jealous when Winston joins her troubled-youth handbell quartet and instantly becomes a natural. Meanwhile Nick and Schmidt engage in class warfare when the toilet breaks and they each have their own idea of how to get it fixed.,1-7
1,8,Bad in Bed,6 Dec. 2011,7.5,"1,414","When Jess decides to take her relationship with Paul to the next level, she consults with the guys for some sex advice. Meanwhile, Schmidt worms his way into his boss' baby shower to compete with his office female counterpart.",1-8
1,9,The 23rd,13 Dec. 2011,7.7,"1,374",The gang attends Schmidt's holiday office party and Jess frets when she receives an expensive gift from Paul.,1-9
1,10,The Story of the 50,17 Jan. 2012,7.7,"1,421","When Schmidt's plans for his 29th birthday fall apart, Jess takes charge and enlists the help of her school's party hungry vice-principal. Meanwhile, Nick begrudgingly has his first date at Schmidt's party with a beautiful lawyer who harbors a secret, and the gang argues why one of them has to place a 50 dollar bill in the douchebag jar.",1-10
